num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
1000,226918,,1.52709,178838,178838,PP
8,226698,"",1.60948,178838,178838,PP
8,226698,"",1.70944,178838,178838,PP
8,226647,"",1.79937,178838,178838,PP
8,226628,"",1.8821,178838,178838,PP
8,226600,"",1.97631,178838,178838,PP
8,226368,"",2.0632,178838,178838,PP
8,226368,"",2.14726,178838,178838,PP
8,226246,"",2.24444,178838,178838,PP
8,226203,"",2.34178,178838,178838,PP
8,226099,"",2.42427,178838,178838,PP
8,226099,"",2.52944,178838,178838,PP
8,225709,"",2.61772,178838,178838,PP
8,225709,"",2.70099,178838,178838,PP
8,225654,"",2.78541,178838,178838,PP
9,225654,"",2.8778,178838,178838,PP
8,225639,"",2.96329,178838,178838,PP
8,225372,"",3.06438,178838,178838,PP
8,225343,"",3.17175,178838,178838,PP
8,225324,"",3.25519,178838,178838,PP
8,225288,"",3.34669,178838,178838,PP
8,225288,"",3.44698,178838,178838,PP
8,225177,"",3.52869,178838,178838,PP
8,224833,"",3.61155,178838,178838,PP
8,224700,"",3.70242,178838,178838,PP
8,224692,"",3.79297,178838,178838,PP
8,224678,"",3.87813,178838,178838,PP
8,224613,"",3.97655,178838,178838,PP
8,224473,"",4.07277,178838,178838,PP
8,224205,"",4.15241,178838,178838,PP
8,224067,"",4.24665,178838,178838,PP
8,224023,"",4.3481,178838,178838,PP
8,223934,"",4.43172,178838,178838,PP
8,223934,"",4.51008,178838,178838,PP
8,223934,"",4.59771,178838,178838,PP
8,223899,"",4.68107,178838,178838,PP
8,223661,"",4.77545,178838,178838,PP
8,223374,"",4.86368,178838,178838,PP
8,223055,"",4.95515,178838,178838,PP
8,222654,"",5.05388,178838,178838,PP
8,222630,"",5.14169,178838,178838,PP
8,222221,"",5.22635,178838,178838,PP
8,222215,"",5.31465,178838,178838,PP
8,221940,"",5.40177,178838,178838,PP
8,221884,"",5.48547,178838,178838,PP
8,221705,"",5.56699,178838,178838,PP
8,221650,"",5.64765,178838,178838,PP
8,221459,"",5.72903,178838,178838,PP
8,221459,"",5.82432,178838,178838,PP
8,221416,"",5.9267,178838,178838,PP
8,221349,"",6.05193,178838,178838,PP
8,221285,"",6.16,178838,178838,PP
8,221198,"",6.29219,178838,178838,PP
8,221148,"",6.38716,178838,178838,PP
8,221086,"",6.47701,178838,178838,PP
8,221075,"",6.56179,178838,178838,PP
8,220864,"",6.6739,178838,178838,PP
8,220790,"",6.76087,178838,178838,PP
8,220790,"",6.84361,178838,178838,PP
8,220790,"",6.94388,178838,178838,PP
8,220561,"",7.02982,178838,178838,PP
8,220561,"",7.11514,178838,178838,PP
8,220561,"",7.21958,178838,178838,PP
